널time,x,y,altitude,u,v,w,V,a_u,a_v,a_w,a_x,a_y,a_z,a_total,phi,theta,psi,p,q,r,alpha,beta,mach,q_dyn,E_s,flag_burnout,flag_apogee,phase,missile_type,elevation_deg
230.28620194386306,183817.4590713304,0.0,245251.9492406352,909.1935072452974,0.0,2.2106436615843035,909.1961947579869,-2.1200522302154923,0.0,0.005013510625358819,1.2310920283198357e-08,0.0,-9.093098969809944,9.093098969809944,0.0,0.23774739869846637,0.0,0.0,-0.009714436131539632,0.0,0.0024314288296581007,0.0,2.756835167826493,2.9837273488309943e-08,287398.7435364652,0,0,3,KN-23,30
230.78620194386306,184259.52877279636,0.0,245356.80228107484,908.1442479843568,0.0,2.213127920573104,908.1469446528274,-2.076912978539326,0.0,0.004923016446053641,1.2078089639544487e-08,0.0,-9.092810765228933,9.092810765228933,0.0,0.23288457279609276,0.0,0.0,-0.009736803179762827,0.0,0.0024369735802938007,0.0,2.753653665740995,2.9396235428999738e-08,287406.3744123463,0,0,3,KN-23,30
231.28620194386306,184701.59847426534,0.0,245459.3821192145,907.116594266758,0.0,2.215566678030357,907.1192999434126,-2.0336312100415626,0.0,0.004831510724546462,1.1816155165433884e-08,0.0,-9.092528822133318,9.092528822133318,0.0,0.22801065789872835,0.0,0.0,-0.00975879114510719,0.0,0.002442422822412821,0.0,2.750537674834654,2.897092060473328e-08,287413.84283361887,0,0,3,KN-23,30
231.78620194386306,185143.66817573726,0.0,245559.68882553992,906.1106167743152,0.0,2.2179594312976505,906.1133313086001,-1.9902092545771666,0.0,0.004739006176039062,1.1583324521780014e-08,0.0,-9.092253139504464,9.092253139504464,0.0,0.22312584501831775,0.0,0.0,-0.009780394155576095,0.0,0.0024477750955847954,0.0,2.7474874094176065,2.856084181793621e-08,287421.14860921574,0,0,3,KN-23,30
232.28620194386306,185585.7378772121,0.0,245657.72246897168,905.1263850121809,0.0,2.220305684206396,905.1291082506131,-1.9466494887252566,0.0,0.004645516043802367,1.132139004766941e-08,0.0,-9.091983716294635,9.091983716294635,0.0,0.2182303280873576,0.0,0.0,-0.009801606401543818,0.0,0.0024530289554224095,0.0,2.7445030802322354,2.816553277749826e-08,287428.2915523258,0,0,3,KN-23,30
232.78620194386306,186027.80757868974,0.0,245753.4831168655,904.1639672855899,0.0,2.222604947341453,904.1666990717857,-1.9029543353506142,0.0,0.004551054097310825,1.1088559404015541e-08,0.0,-9.091720551456092,9.091720551456092,0.0,0.21332430392681048,0.0,0.0,-0.0098224221393585,0.0,0.0024581829744821718,0.0,2.741584894382661,2.778454724366024e-08,287435.2714803928,0,0,3,KN-23,30
233.28620194386306,186469.87728017016,0.0,245846.97083501256,903.2234306768303,0.0,2.224856738303707,903.2261708515364,-1.8591262631319978,0.0,0.004455634629850103,1.0884832590818405e-08,0.0,-9.0914636439702,9.0914636439702,0.0,0.2084079722122173,0.0,0.0,-0.009842835694943498,0.0,0.0024632357431642916,0.0,2.7387330552649147,2.7417458214850275e-08,287442.08821511327,0,0,3,KN-23,30
233.78620194386306,186911.9469816533,0.0,245938.18568763963,902.3048410224579,0.0,2.227060581971303,902.307589423584,-1.815167786057259,0.0,0.0043592724556345,1.0622898116707802e-08,0.0,-9.09121299290564,9.09121299290564,0.0,0.20348153543801065,0.0,0.0,-0.009862841467393003,0.0,0.002468185870610641,0.0,2.7359477624978616,2.706385715444392e-08,287448.74158243544,0,0,3,KN-23,30
234.28620194386306,187354.0166831391,0.0,246027.12773740946,901.408262890773,0.0,2.2292160107593415,901.4110193534266,-1.7710814628853768,0.0,0.00426198290640567,1.0360963642597198e-08,0.0,-9.090968597331084,9.090968597331084,0.0,0.19854519888003225,0.0,0.0,-0.009882433932558301,0.0,0.0024730319855999073,0.0,2.733229211854908,2.6723353255535262e-08,287455.23141255765,0,0,3,KN-23,30
234.78620194386306,187796.0863846275,0.0,246113.79704542086,900.5337595595726,0.0,2.2313225648777086,900.5365239160967,-1.7268698965747262,0.0,0.004163781827503321,1.0099029168486595e-08,0.0,-9.090730456257006,9.090730456257006,0.0,0.19359917055626052,0.0,0.0,-0.00990160764662056,0.0,0.00247777273743885,0.0,2.730577595196551,2.639557274190612e-08,287461.55753992643,0,0,3,KN-23,30
